,English_word,French_word,Frequnecy
121,captain,capitaine,1
122,cardinal,cardinal,1
123,cares,se soucie,1
124,carry,porter,1
125,castle,Château,1
126,catch,capture,1
127,cause,cause,1
128,cease,cesser,1
129,certain,certain,1
130,chain,chaîne,1
131,chair,chaise,1
132,challenge,défi,1
133,chamber,chambre,1
134,chance,chance,1
135,change,changement,1
136,charge,charge,1
137,charity,charité,1
138,chaste,chaste,1
139,cheek,joue,1
140,cheer,acclamation,1
141,chide,gronder,1
142,chief,chef,1
143,child,enfant,1
144,choice,choix,1
145,church,église,1
146,cinna,cinna,1
147,citizen,citoyenne,1
148,civil,civil,1
149,claim,prétendre,1
150,clarence,clarté,1
151,claud,claud,1
152,claudio,Claudio,1
153,clear,clair,1
154,clifford,Clifford,1
155,close,proche,1
156,cloten,cailloter,1
157,clothes,vêtements,1
158,clouds,des nuages,1
159,clown,pitre,1
160,college,Université,1
161,colour,Couleur,1
162,comes,vient,1
163,comfort,confort,1
164,coming,venir,1
165,cominius,cominius,1
166,command,commander,1
167,commanded,commandé,1
168,commend,saluer,1
169,commercial,commercial,1
170,commission,commission,1
171,commit,commettre,1
172,common,commun,1
173,companion,un compagnon,1
174,company,entreprise,1
175,complete,Achevée,1
176,complexion,complexion,1
177,condition,état,1
178,conduct,conduite,1
179,confess,avouer,1
180,conscience,conscience,1
181,consent,consentement,1
182,consider,considérer,1
183,constable,gendarme,1
184,constant,constant,1
185,contempt,mépris,1
186,content,contenu,1
187,contrary,contraire,1
188,copies,copies,1
189,copyright,droits d'auteur,1
190,could,pourrait,1
191,council,conseil,1
192,counsel,Conseil,1
193,count,compter,1
194,counterfeit,contrefaire,1
195,countess,comtesse,1
196,country,pays,1
197,courage,courage,1
198,course,cours,1
199,court,tribunal,1
200,courtesy,courtoisie,1
201,cousin,cousin,1
202,coward,lâche,1
203,crave,demander,1
204,creature,créature,1
205,credit,crédit,1
206,cromwell,Cromwell,1
207,cross,traverser,1
208,crown,couronne,1
209,cruel,cruel,1
210,cunning,ruse,1
211,cupid,Cupidon,1
212,curse,malédiction,1
213,custom,Douane,1
214,dagger,dague,1
215,damned,damné,1
216,dance,Danse,1
217,danger,danger,1
218,darkness,obscurité,1
219,daughter,fille,1
220,deadly,mortel,1
221,dearest,très cher,1
222,dearly,chèrement,1
223,death,décès,1
224,deeds,actes,1
225,defend,défendre,1
226,degree,diplôme,1
227,delight,délice,1
228,deliver,livrer,1
229,demand,demande,1
230,denied,refusé,1
231,depart,partir,1
232,desert,désert,1
233,deserve,mériter,1
234,desire,le désir,1
235,despair,désespoir,1
236,desperate,désespéré,1
237,despite,malgré,1
238,device,dispositif,1
239,devil,diable,1
240,devise,concevoir,1
241,didst,didst,1
242,dinner,dîner,1
243,discourse,discours,1
244,discover,découvrir,1
245,disgrace,disgrâce,1
246,dishonour,déshonorer,1
247,dispatch,envoi,1
248,displeasure,mécontentement,1
249,disposition,disposition,1
250,distributed,distribué,1
251,divine,Divin,1
252,doctor,docteur,1
253,doing,Faire,1
254,dolabella,Dolabella,1
255,doors,des portes,1
256,double,double,1
257,doubt,doute,1
258,download,Télécharger,1
259,dramatis,dramatis,1
260,drawn,tiré,1
261,dread,crainte,1
262,dreadful,horrible,1
263,dream,rêver,1
264,dreams,rêves,1
265,drink,boisson,1
266,drops,gouttes,1
267,drown,noyer,1
268,drums,tambours,1
269,drunk,ivre,1
270,duncan,Duncan,1
271,durst,durst,1
272,dwell,habiter,1
273,dying,en train de mourir,1
274,early,de bonne heure,1
275,earth,Terre,1
276,edmund,Edmund,1
277,effect,effet,1
278,egypt,Egypte,1
279,either,Soit,1
280,elbow,coude,1
281,elder,aîné,1
282,embrace,embrasse,1
283,emilia,Émilie,1
284,emperor,empereur,1
285,empty,vide,1
286,encounter,rencontre,1
287,endure,supporter,1
288,enemies,ennemis,1
289,enemy,ennemi,1
290,enjoy,prendre plaisir,1
291,enobarbus,énobarbus,1
292,enough,assez,1
293,enter,entrer,1
294,entertain,divertir,1
295,entertainment,divertissement,1
296,entreat,supplier,1
297,equal,égal,1
298,estate,biens,1
299,eternal,éternel,1
300,every,chaque,1
301,everything,tout,1
302,excellent,excellent,1
303,except,sauf,1
304,excuse,excuse,1
305,execution,exécution,1
306,exeter,Exeter,1
307,exeunt,sortir,1
308,express,Express,1
309,faces,visages,1
310,faint,perdre connaissance,1
311,fairy,Fée,1
312,faith,Foi,1
313,falls,des chutes,1
314,FALSE,faux,1
315,familiar,familier,1
316,fancy,fantaisie,1
317,farewell,adieu,1
318,farther,plus loin,1
319,fashion,mode,1
320,fatal,fatal,1
321,father,père,1
322,fault,faute,1
323,favour,favoriser,1
324,fearful,craintif,1
325,fears,peurs,1
326,feast,le banquet,1
327,feeble,faible,1
328,fellow,compagnon,1
329,fenton,Fenton,1
330,ferdinand,Ferdinand,1
331,fetch,chercher,1
332,field,champ,1
333,fiend,démon,1
334,fierce,féroce,1
335,fiery,ardent,1
336,fight,bats toi,1
337,figure,figure,1
338,finds,trouve,1
339,finger,doigt,1
340,first,première,1
341,flatter,flatter,1
342,flesh,la chair,1
343,flies,mouches,1
344,flight,vol,1
345,flood,inonder,1
346,flourish,fleurir,1
347,flower,fleur,1
348,flowers,fleurs,1
349,follow,suivre,1
350,folly,folie,1
351,foolish,insensé,1
352,fools,imbéciles,1
353,forbear,ancêtre,1
354,forbid,interdire,1
355,force,Obliger,1
356,forces,les forces,1
357,forest,forêt,1
358,forget,oublier,1
359,former,ancien,1
360,forsooth,en vérité,1
361,forth,en avant,1
362,fortune,fortune,1
363,forward,vers l'avant,1
364,fought,combattu,1
365,found,a trouvé,1
366,fourth,Quatrième,1
367,frame,Cadre,1
368,france,France,1
369,freely,librement,1
370,french,français,1
371,fresh,Frais,1
372,friend,ami,1
373,frown,froncer les sourcils,1
374,fruit,fruit,1
375,further,plus loin,1
376,gallant,galant,1
377,garden,jardin,1
378,gates,portes,1
379,gaunt,décharné,1
380,general,général,1
381,gentle,doux,1
382,ghost,fantôme,1
383,given,donné,1
384,giving,donnant,1
385,glass,verre,1
386,glorious,glorieux,1
387,glory,gloire,1
388,going,Aller,1
389,golden,d'or,1
390,goodness,la bonté,1
391,gower,gower,1
392,grace,la grâce,1
393,grant,subvention,1
394,grave,la tombe,1
395,great,génial,1
396,green,vert,1
397,greet,saluer,1
398,grief,douleur,1
399,grieve,pleurer,1
400,gross,brut,1
401,ground,sol,1
402,grown,grandi,1
403,guard,garde,1
404,guess,devine,1
405,guilty,coupable,1
406,habit,habitude,1
407,hands,mains,1
408,hanging,pendaison,1
409,hangs,bloque,1
410,happiness,bonheur,1
411,happy,heureux,1
412,haste,hâte,1
413,hateful,odieux,1
414,having,ayant,1
415,hazard,danger,1
416,heads,têtes,1
417,health,santé,1
418,heard,entendu,1
419,heart,cœur,1
420,heaven,paradis,1
421,heavy,lourd,1
422,hector,Hector,1
423,heels,talons,1
424,hence,Par conséquent,1
425,henceforth,désormais,1
426,hereafter,"ci-après, par la suite",1
427,herself,se,1
428,highness,altesse,1
429,holds,tient,1
430,hollow,creux,1
431,honest,honnête,1
432,horse,cheval,1
433,hostess,hôtesse,1
434,hours,heures,1
435,house,maison,1
436,hubert,Hubert,1
437,humble,humble,1
438,humour,humour,1
439,hundred,cent,1
440,husband,mari,1
441,ignorant,ignorant,1
442,image,image,1
443,includes,comprend,1
444,indeed,En effet,1
445,infinite,infini,1
446,innocent,innocent,1
447,instant,instant,1
448,intend,avoir l'intention,1
449,intent,intention,1
450,issue,problème,1
451,itself,lui-même,1
452,jealous,jaloux,1
453,jewel,bijou,1
454,judge,juge,1
455,judgment,jugement,1
456,julia,Julia,1
457,justice,Justice,1
458,keeps,garde,1
459,kindness,la gentillesse,1
460,kingdom,Royaume,1
461,kings,rois,1
462,knave,fripon,1
463,kneel,s'agenouiller,1
464,knees,les genoux,1
465,knife,couteau,1
466,knight,Chevalier,1
467,knock,frappe,1
468,knowing,connaissance,1
469,knowledge,connaissance,1
470,known,connu,1
471,knows,sait,1
472,labour,la main d'oeuvre,1
473,ladies,Dames,1
474,ladyship,Madame,1
475,lands,terres,1
476,large,grand,1
477,laugh,rire,1
478,launce,lancer,1
479,lawful,légitime,1
480,learn,apprendre,1
481,learned,appris,1
482,least,moins,1
483,leave,laisser,1
484,leisure,loisir,1
485,leontes,leontes,1
486,letter,lettre,1
487,liberty,liberté,1
488,library,bibliothèque,1
489,liege,Liege,1
490,lieutenant,lieutenant,1
491,light,lumière,1
492,limbs,membres,1
493,little,peu,1
494,lives,vies,1
495,living,vivant,1
496,longer,plus long,1
497,looks,regards,1
498,loose,ample,1
499,lords,seigneurs,1
500,lordship,seigneurie,1
501,lorenzo,Lorenzo,1
502,lovely,charmant,1
503,lovers,les amoureux,1
504,loves,aime,1
505,loving,aimant,1
506,lucentio,Lucentio,1
507,machine,machine,1
508,madness,la démence,1
509,maiden,jeune fille,1
510,maids,servantes,1
511,maintain,maintenir,1
512,majesty,majesté,1
513,makes,fait du,1
514,making,fabrication,1
515,malice,malice,1
516,manner,manière,1
517,march,Mars,1
518,marcius,Marcius,1
519,marcus,Marcus,1
520,margaret,margaret,1
521,maria,maria,1
522,mariana,Mariana,1
523,marriage,mariage,1
524,marry,marier,1
525,master,Maître,1
526,match,rencontre,1
527,matter,matière,1
528,meaning,sens,1
529,means,veux dire,1
530,meant,signifiait,1
531,measure,mesure,1
532,meeting,réunion,1
533,membership,adhésion,1
534,memory,Mémoire,1
535,merchant,marchande,1
536,mercy,pitié,1
537,merit,mérite,1
538,merry,joyeux,1
539,messenger,Messager,1
540,midnight,minuit,1
541,might,pourrait,1
542,mighty,puissant,1
543,milan,Milan,1
544,minds,esprits,1
545,minister,ministre,1
546,miranda,Miranda,1
547,mirth,gaieté,1
548,mischief,sottises,1
549,misery,misère,1
550,mistake,erreur,1
551,mistress,maîtresse,1
552,modest,modeste,1
553,money,argent,1
554,monster,monstre,1
555,month,mois,1
556,morning,Matin,1
557,morrow,demain,1
558,mortal,mortel,1
559,mother,mère,1
560,motion,mouvement,1
561,mouth,bouche,1
562,mowbray,mowbray,1
563,murder,meurtre,1
564,murther,aller plus loin,1
565,music,la musique,1
566,myself,moi même,1
567,naked,nu,1
568,names,des noms,1
569,native,originaire de,1
570,natural,Naturel,1
571,nature,la nature,1
572,needs,Besoins,1
573,neighbour,voisine,1
574,neither,ni,1
575,never,jamais,1
576,niece,nièce,1
577,night,nuit,1
578,noble,noble,1
579,noise,bruit,1
580,nothing,rien,1
581,nought,néant,1
582,number,nombre,1
583,nurse,infirmière,1
584,oaths,serments,1
585,obedience,obéissance,1
586,oberon,Oberon,1
587,object,objet,1
588,occasion,occasion,1
589,offence,infraction,1
590,offend,offenser,1
591,offer,offre,1
592,office,Bureau,1
593,often,souvent,1
594,oliver,oliver,1
595,opinion,opinion,1
596,order,ordre,1
597,orlando,orlando,1
598,other,autre,1
599,others,autres,1
600,ourselves,nous-mêmes,1
601,outward,vers l'extérieur,1
602,oxford,Oxford,1
603,padua,Padoue,1
604,pains,des douleurs,1
605,painted,peint,1
606,painter,peintre,1
607,palace,palais,1
608,pandarus,Pandarus,1
609,paper,papier,1
610,pardon,pardon,1
611,paris,Paris,1
612,parolles,parolles,1
613,parted,séparé,1
614,particular,particulier,1
615,partly,partiellement,1
616,parts,les pièces,1
617,party,fête,1
618,passage,passage,1
619,passion,la passion,1
620,patience,la patience,1
621,patient,patient,1
622,paulina,paulina,1
623,peace,paix,1
624,pedro,pedro,1
625,people,gens,1
626,perceive,apercevoir,1
627,percy,Percy,1
628,perfect,parfait,1
629,perhaps,peut-être,1
630,peril,péril,1
631,permission,autorisation,1
632,person,la personne,1
633,personal,personnel,1
634,phebe,phebe,1
635,philip,Philippe,1
636,picture,image,1
637,piece,pièce,1
638,pistol,pistolet,1
639,place,endroit,1
640,plague,peste,1
641,plain,plaine,1
642,plead,plaider,1
643,please,S'il vous plaît,1
644,pleasure,plaisir,1
645,pluck,cueillir,1
646,poins,poins,1
647,point,point,1
648,poison,poison,1
649,policy,politique,1
650,polixenes,polixènes,1
651,pompey,pompey,1
652,porter,porter,1
653,possible,possible,1
654,posthumus,posthume,1
655,pound,livre,1
656,power,Puissance,1
657,practice,entraine toi,1
658,praise,louange,1
659,prayers,prières,1
660,precious,précieux,1
661,prepare,préparer,1
662,presence,présence,1
663,present,présent,1
664,pretty,jolie,1
665,pride,fierté,1
666,priest,prêtre,1
667,prince,prince,1
668,prison,prison,1
669,private,privé,1
670,prize,prix,1
671,proceed,procéder,1
672,proclaim,proclamer,1
673,profit,profit,1
674,prohibited,interdit,1
675,project,projet,1
676,prologue,prologue,1
677,promise,promettre,1
678,proof,preuve,1
679,proper,correct,1
680,protector,protecteur,1
681,protest,manifestation,1
682,proud,fier,1
683,prove,prouver,1
684,provided,à condition de,1
685,public,Publique,1
686,purpose,objectif,1
687,purse,bourse,1
688,quality,qualité,1
689,quarrel,querelle,1
690,queen,reine,1
691,question,question,1
692,quick,rapide,1
693,quiet,silencieux,1
694,quite,assez,1
695,quoth,quoth,1
696,raise,élever,1
697,ransom,une rançon,1
698,rascal,coquin,1
699,rather,plutôt,1
700,readable,lisible,1
701,ready,prêt,1
702,realm,domaine,1
703,reason,raison,1
704,receive,recevoir,1
705,regard,qui concerne,1
706,reign,règne,1
707,reignier,règne,1
708,remain,rester,1
709,remedy,remède,1
710,remember,rappelles toi,1
711,render,rendre,1
712,repair,réparation,1
713,repent,se repentir,1
714,report,rapport,1
715,reputation,réputation,1
716,request,demande,1
717,respect,le respect,1
718,return,revenir,1
719,revenge,vengeance,1
720,reverence,révérence,1
721,revolt,révolte,1
722,right,droite,1
723,rivers,rivières,1
724,rogue,coquin,1
725,rotten,pourri,1
726,rough,rugueux,1
727,round,rond,1
728,royal,Royal,1
729,sacred,sacré,1
730,safety,sécurité,1
731,saint,Saint,1
732,salerio,salerio,1
733,satisfied,satisfait,1
734,saying,en disant,1
735,scarce,rare,1
736,scene,scène,1
737,scorn,mépris,1
738,search,chercher,1
739,season,saison,1
740,second,seconde,1
741,secret,secret,1
742,seeing,voyant,1
743,senate,sénat,1
744,senator,sénateur,1
745,sense,sens,1
746,sentence,phrase,1
747,servant,serviteur,1
748,serve,servir,1
749,service,un service,1
750,seven,Sept,1
751,several,nombreuses,1
752,shadow,ombre,1
753,shake,secouer,1
754,shall,doit,1
755,shame,la honte,1
756,shape,forme,1
757,sharp,tranchant,1
758,shepherd,berger,1
759,shine,éclat,1
760,shore,rive,1
761,short,court,1
762,shortly,prochainement,1
763,should,devrait,1
764,shows,montre,1
765,sickness,maladie,1
766,sight,vue,1
767,silence,silence,1
768,silver,argent,1
769,simple,Facile,1
770,since,depuis,1
771,single,Célibataire,1
772,sirrah,sirrah,1
773,sister,sœur,1
774,skill,compétence,1
775,slain,tué,1
776,slander,calomnie,1
777,slave,esclave,1
778,sleep,sommeil,1
779,slender,mince,1
780,small,petit,1
781,smell,odeur,1
782,smile,sourire,1
783,soldier,soldat,1
784,solemn,solennel,1
785,somerset,somerset,1
786,something,quelque chose,1
787,sometime,parfois,1
788,sooner,plus tôt,1
789,soothsayer,devin,1
790,sorrow,chagrin,1
791,sorry,Pardon,1
792,sought,recherché,1
793,souls,âmes,1
794,sound,du son,1
795,sovereign,souverain,1
796,spare,de rechange,1
797,speak,parler,1
798,speaks,parle,1
799,special,spécial,1
800,speech,discours,1
801,speed,la vitesse,1
802,spend,dépenser,1
803,spirit,esprit,1
804,spite,dépit,1
805,spoke,parlait,1
806,sport,sport,1
807,spring,printemps,1
808,staff,Personnel,1
809,stain,tache,1
810,stand,supporter,1
811,stars,étoiles,1
812,state,Etat,1
813,steal,voler,1
814,steel,acier,1
815,steward,intendant,1
816,still,encore,1
817,stomach,estomac,1
818,stone,calcul,1
819,stood,se tenait,1
820,store,boutique,1
821,storm,orage,1
822,story,récit,1
823,straight,tout droit,1
824,strange,étrange,1
825,street,rue,1
826,strength,force,1
827,strike,la grève,1
828,stroke,accident vasculaire cérébral,1
829,strong,fort,1
830,struck,frappé,1
831,study,étude,1
832,stuff,des trucs,1
833,subject,matière,1
834,substance,substance,1
835,success,Succès,1
836,sudden,soudain,1
837,suddenly,tout à coup,1
838,suffer,souffrir,1
839,suffolk,suffolk,1
840,summer,été,1
841,supper,souper,1
842,surely,sûrement,1
843,surrey,Surrey,1
844,suspect,suspect,1
845,swear,jurer,1
846,sweat,transpiration,1
847,sweet,sucré,1
848,swift,rapide,1
849,sword,épée,1
850,swore,juré,1
851,sworn,juré,1
852,syracuse,Syracuse,1
853,table,table,1
854,tailor,tailleur,1
855,taken,pris,1
856,talbot,talbot,1
857,tarry,goudronneux,1
858,taste,goût,1
859,taught,enseigné,1
860,teach,enseigner,1
861,tears,larmes,1
862,tedious,fastidieux,1
863,teeth,les dents,1
864,tells,raconte,1
865,tempest,tempête,1
866,tender,soumissionner,1
867,terms,termes,1
868,thank,remercier,1
869,their,leur,1
870,themselves,se,1
871,there,Là,1
872,therefore,par conséquent,1
873,therein,la bride,1
874,these,celles-ci,1
875,thief,voleur,1
876,thing,chose,1
877,think,pense,1
878,third,troisième,1
879,thomas,Thomas,1
880,those,ceux,1
881,though,bien que,1
882,thought,pensée,1
883,thrive,prospérer,1
884,throat,gorge,1
885,throne,trône,1
886,through,par,1
887,throw,jeter,1
888,thrust,poussée,1
889,thunder,tonnerre,1
890,times,fois,1
891,title,Titre,1
892,together,ensemble,1
893,tongue,langue,1
894,tonight,ce soir,1
895,touch,toucher,1
896,toward,vers,1
897,tower,la tour,1
898,train,train,1
899,traitor,traitre,1
900,tread,bande de roulement,1
901,treason,trahison,1
902,treasure,Trésor,1
903,trial,procès,1
904,tribunes,tribunes,1
905,trick,tour,1
906,triumph,triomphe,1
907,trouble,difficulté,1
908,truly,vraiment,1
909,trumpet,trompette,1
910,trust,confiance,1
911,truth,vérité,1
912,turns,se tourne,1
913,twice,deux fois,1
914,tyrant,tyran,1
915,ulysses,Ulysse,1
916,uncle,oncle,1
917,under,sous,1
918,understand,comprendre,1
919,undertake,entreprendre,1
920,undone,défait,1
921,unhappy,malheureux,1
922,unknown,inconnue,1
923,unless,sauf si,1
924,until,jusqu'à,1
925,unworthy,indigne,1
926,utter,prononcer,1
927,valentine,Valentin,1
928,valiant,vaillant,1
929,valour,valeur,1
930,vantage,avantage,1
931,vengeance,vengeance,1
932,venice,venise,1
933,version,version,1
934,victory,la victoire,1
935,villain,scélérat,1
936,viola,alto,1
937,violent,violent,1
938,virtue,vertu,1
939,visit,visite,1
940,voice,voix,1
941,walls,des murs,1
942,warlike,guerrier,1
943,warrant,mandat,1
944,waste,déchets,1
945,watch,regarder,1
946,water,eau,1
947,wealth,richesse,1
948,weapons,armes,1
949,weary,se lasser,1
950,weeds,mauvaises herbes,1
951,weeping,larmes,1
952,weight,poids,1
953,welcome,Bienvenue,1
954,wench,jeune fille,1
955,whence,d'où,1
956,where,où,1
957,wherein,où,1
958,whether,qu'il s'agisse,1
959,which,lequel,1
960,while,tandis que,1
961,whither,où,1
962,whole,entier,1
963,whore,putain,1
964,whose,dont,1
965,widow,veuve,1
966,willing,prêt,1
967,window,la fenêtre,1
968,wings,ailes,1
969,winter,hiver,1
970,wisdom,sagesse,1
971,witch,sorcière,1
972,withal,avec,1
973,within,dans,1
974,without,sans pour autant,1
975,witness,témoin,1
976,wives,épouses,1
977,wolsey,Wolsey,1
978,woman,femme,1
979,wonder,merveille,1
980,works,travaux,1
981,world,monde,1
982,worse,pire,1
983,worship,culte,1
984,worth,vaut,1
985,would,aurait,1
986,wound,blessure,1
987,wounded,blessés,1
988,wrath,colère,1
989,wretch,misérable,1
990,write,écrire,1
991,written,écrit,1
992,wrong,faux,1
993,wrought,forgé,1
994,yield,rendement,1
995,yonder,là-bas,1
996,young,Jeune,1
997,yours,le tiens,1
998,yourself,toi même,1
999,youth,jeunesse,1
